'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'154060'	'BaByliss varmluftsbørste BAAS82E'	'['800 Watt', 'To varmeinnstillinger', 'Utskiftbart børstetilbehør']'	'Personlig pleie, skjønnhet og velvære'	'Personlig pleie, skjønnhet og velvære > Hår og styling > Hårbørste'	'https://www.elkjop.no/product/personlig-pleie-skjonnhet-og-velvare/har-og-styling/harborste/babyliss-varmluftsborste-baas82e/154060'	'https://next-media.elkjop.com/image/dv_web_D18000135112842/154060/babyliss-varmluftsborste-baas82e.jpg'	'new'	'out_of_stock'	'349 NOK'	'299 NOK'		'BaByliss'																			
'157152'	'Whirlpool fryseboks W390FO'	'['H: 91.6cm, B: 140.5 cm, D: 69.8cm', 'Nettovolum: 394 l', '6th Sense-teknologi']'	'Hvitevarer'	'Hvitevarer > Kjøleskap & Frysere > Fryseboks'	'https://www.elkjop.no/product/hvitevarer/kjoleskap-frysere/fryseboks/whirlpool-fryseboks-w390fo/157152'	'https://next-media.elkjop.com/image/dv_web_D180001002820309/157152/whirlpool-fryseboks-w390fo.jpg'	'new'	'out_of_stock'	'9995 NOK'	'5995 NOK'		'Whirlpool'									'e'										
'176175'	'Thermex Vertical 360 ventilator VERTICAL360BL'	'['Bredde: 60 cm, veggmontert', 'Filtreringskapasitet: 543 m³/t', 'Fire styrkenivåer, LED-lys']'	'Hvitevarer'	'Hvitevarer > Kjøkkenvifte og ventilator'	'https://www.elkjop.no/product/hvitevarer/kjokkenvifte-og-ventilator/thermex-vertical-360-ventilator-vertical360bl/176175'		'new'	'in_stock'	'3995 NOK'	'2995 NOK'		'Thermex'									'a+'										
'183377'	'Piranha Attack V2 RGB gamingstol'	'['Full vipping, forsterket nylonbase', 'Klasse 4 gassheis, 110 kg maksvekt', 'Syntetisk skinn, RGB-lys']'	'Gaming'	'Gaming > Gamingstol og Gamingpult > Gamingstol'	'https://www.elkjop.no/product/gaming/gamingstol-og-gamingpult/gamingstol/piranha-attack-v2-rgb-gamingstol/183377'	'https://next-media.elkjop.com/image/dv_web_D180001274138979/183377/piranha-attack-v2-rgb-gamingstol.jpg'	'new'	'in_stock'	'1795 NOK'	'1795 NOK'		'Piranha'																			
'187676'	'Polar Unite sportsklokke S/L (sort)'	'['Precision Prime-pulsmåler', 'Søvn- og restitusjonsmåler', 'Adaptiv treningsguide']'	'Sport, hobby og fritid'	'Sport, hobby og fritid > Sport og trening > Sportsklokke'	'https://www.elkjop.no/product/sport-hobby-og-fritid/sport-og-trening/sportsklokke/polar-unite-sportsklokke-sl-sort/187676'	'https://next-media.elkjop.com/image/dv_web_D180001002478152/187676/polar-unite-sportsklokke-sl-sort.jpg'	'new'	'out_of_stock'	'1499 NOK'	'1190 NOK'		'Polar'																			
'193228'	'Razer Tarok Essentials gamingstol'	'['Trykkreduserende hjul', 'Mykpolstrede armlener', 'Klasse 4 gassheis']'	'Gaming'	'Gaming > Gamingstol og Gamingpult > Gamingstol'	'https://www.elkjop.no/product/gaming/gamingstol-og-gamingpult/gamingstol/razer-tarok-essentials-gamingstol/193228'	'https://next-media.elkjop.com/image/dv_web_D18000135112633/193228/razer-tarok-essentials-gamingstol.jpg'	'new'	'in_stock'	'2999 NOK'	'2295 NOK'		'Razer'																			
'194052'	'Electrolux kjøleskap LXB1AE13W0'	'['H: 84.5cm, B: 56 cm, D: 57.5cm', 'Nettovolum: 134 l', 'NoFrost, OptiSpace-interiør']'	'Hvitevarer'	'Hvitevarer > Kjøleskap & Frysere > Kjøleskap'	'https://www.elkjop.no/product/hvitevarer/kjoleskap-frysere/kjoleskap/electrolux-kjoleskap-lxb1ae13w0/194052'	'https://next-media.elkjop.com/image/dv_web_D18000135111257/194052/electrolux-kjoleskap-lxb1ae13w0.jpg'	'new'	'in_stock'	'3219 NOK'	'2895 NOK'		'Electrolux'									'e'										
'194054'	'Electrolux 600 fryseskap LYB1AE8W0 (hvit)'	'['Nettovolum: 85 liter', 'OptiSpace-interiør', 'LowFrost-system']'	'Hvitevarer'	'Hvitevarer > Kjøleskap & Frysere > Fryseskap'	'https://www.elkjop.no/product/hvitevarer/kjoleskap-frysere/fryseskap/electrolux-600-fryseskap-lyb1ae8w0-hvit/194054'	'https://next-media.elkjop.com/image/dv_web_D180001002714823/194054/electrolux-600-fryseskap-lyb1ae8w0-hvit.jpg'	'new'	'in_stock'	'3495 NOK'	'2995 NOK'		'Electrolux'									'e'										
'19570'	'OBH Nordica eggekoker OBH6730 (hvit)'	'['Kapasitet: 6 egg', '365-435 watt', 'Piper når eggene er klare']'	'Hjem, rengjøring og kjøkkenutstyr'	'Hjem, rengjøring og kjøkkenutstyr > Kjøkkenapparater > Kjøkkenmaskiner og matlaging > Eggkoker'	'https://www.elkjop.no/product/hjem-rengjoring-og-kjokkenutstyr/kjokkenapparater/kjokkenmaskiner-og-matlaging/eggkoker/obh-nordica-eggekoker-obh6730-hvit/19570'	'https://next-media.elkjop.com/image/dv_web_D180001002234883/19570/obh-nordica-eggekoker-obh6730-hvit.jpg'	'new'	'in_stock'	'299 NOK'	'249 NOK'		'OBH Nordica'																			
'196329'	'Asko tørkeskap DC7784HPW'	'['Kapasitet: 4 kg', 'Høyde: 184 cm', 'Sensordrevet tørking']'	'Hvitevarer'	'Hvitevarer > Vask og tørk > Tørketrommel og tørkeskap > Tørkeskap'	'https://www.elkjop.no/product/hvitevarer/vask-og-tork/torketrommel-og-torkeskap/torkeskap/asko-torkeskap-dc7784hpw/196329'	'https://next-media.elkjop.com/image/dv_web_D180001002859523/196329/asko-torkeskap-dc7784hpw.jpg'	'new'	'out_of_stock'	'33540 NOK'	'30995 NOK'		'ASKO'																			
