'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'66349'	'MOVA K10 Wet & Dry'	'MOVA K10 er en allsidig rengjøringsløsning som håndterer både våte og tørre gulv. Den har en kraftig motor, lang batteritid på opptil 30 minutter, og en innovativ selvrensende funksjon for børsten. Med LED-display og talemeldinger gir den enkel bruk og sanntidsinformasjon under rengjøringen. Den er lett, ergonomisk og utstyrt med et dobbelt skrapesystem for effektiv rengjøring.'	'Hjem & fritid > Rengjøring > Støvsuger > Skaftstøvsuger'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66349&url=http://www.kjell.com/no/produkter/hjem-fritid/rengjoring/stovsuger/poselos-stovsugrer/mova-k10-wet-dry-p66349'	'https://www.kjell.com/globalassets/productimages/903212_66349.jpg?ref=75F0A03DBB&format=jpg&w=700'	'new'	'out_of_stock'	'2290 NOK'		'6976233673769'	'MOVA'	'Mova K10'	'P920164'											'very high price'	'false'					
'66351'	'Strong Google TV Stick 4K HDMI'	'Strong SRT 41 er en Google TV-boks som gir høy bildekvalitet med 4K-oppløsning og forbedret lyd via Dolby Audio. Den har støtte for Android og OTT-tjenester og gir enkel tilgang til strømming og apper. Det gjør den til et ypperlig valg for hjemmeunderholdning.'	'Lyd og bilde > TV og tilbehør > Streaming og mediespillere > Chromecast'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66351&url=http://www.kjell.com/no/produkter/lyd-og-bilde/tv-og-tilbehor/streaming-og-mediespillere/chromecast/strong-google-tv-stick-4k-hdmi-p66351'	'https://www.kjell.com/globalassets/productimages/907743_66351.jpg?ref=5BA59ECD64&format=jpg&w=700'	'new'	'in_stock'	'699 NOK'		'9120072373176'	'STRONG'	'STRONG Google TV Stick 4K HDMI'	'P920530'											'medium price'	'false'					
'66354'	'Strong LEAP-S3 PRO Google TV-boks'	'Oppgrader TV-en med Google TV-boksen LEAP-S3 PRO, en kraftig og kompakt enhet som forvandler din vanlige TV til en smart-TV med direkte tilgang til Google Play Store. TV-boksen har en rask Quad-Core Cortex-A55-processor og Wifi 6. Den har støtte for 4K UHD-oppløsning, HDR og Dolby Vision. Boksen kobles til internett via wifi eller nettverkskabel og gjør at du kan strømme filmer og serier på Netflix, YouTube og Disney+2, eller bruke apper og spill på din vanlige TV.'	'Lyd og bilde > TV og tilbehør > Streaming og mediespillere > Chromecast'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66354&url=http://www.kjell.com/no/produkter/lyd-og-bilde/tv-og-tilbehor/digital-tv/set-top-boks/strong-leap-s3-pro-google-tv-boks-p66354'	'https://www.kjell.com/globalassets/productimages/910323_66354_02.jpg?ref=2A34F33BB3&format=jpg&w=700'	'new'	'in_stock'	'1299 NOK'		'9120072379185'	'STRONG'	'STRONG 4K UHD Wi-Fi 6 Box Pro'	'P920533'											'high price'	'false'					
'66356'	'Strong Android TV Stick LEAP-UNA'	'Strong LEAP-UNA er en Android TV-boks som gir visning i 2K-oppløsning. Med støtte for Android og OTT-tjenester gir den enkel tilgang til strømming og apper, noe som gjør den til et utmerket valg for underholdning i hjemmet.'	'Lyd og bilde > TV og tilbehør > Streaming og mediespillere > Chromecast'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66356&url=http://www.kjell.com/no/produkter/lyd-og-bilde/tv-og-tilbehor/streaming-og-mediespillere/chromecast/strong-android-tv-stick-leap-una-p66356'	'https://www.kjell.com/globalassets/productimages/910781_66356.jpg?ref=A35FB49800&format=jpg&w=700'	'new'	'in_stock'	'529 NOK'		'313418028642'	'STRONG'	'LEAP-UNA'	'P920670'											'medium price'	'false'					
'66360'	'Xplora XGO3 XConnect Gen2 Rosa'	'Mobilklokken Xplora XGO3 XConnect Gen2 er en oppgradert versjon av XGO3, med lekent design, friske farger, lenger batteritid og enklere lading. Skap en tryggere hverdag og sikker kommunikasjon med barnet ditt ved hjelp av innebygd GPS og trygge soner. Barnet kan kommunisere enkelt via samtale og chat og sende bilder med det innebygde kameraet. Skolemodusen gjør at mobilen fungerer som en klokke uten distraherende varsler.'	'Hjem & fritid > Barn og baby > Mobiltelefoner for barn'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66360&url=http://www.kjell.com/no/produkter/hjem-fritid/barn-og-baby/smartklokker-for-barn/xplora-xgo3-xconnect-gen2-rosa-p66360'	'https://www.kjell.com/globalassets/productimages/908723_66360.jpg?ref=987428E880&format=jpg&w=700'	'new'	'in_stock'	'1895 NOK'		'7090048404499'	'Xplora'	'XGO3-2NO-SL-PINK'	'P920618'						'Rosa'					'high price'	'false'					
'66363'	'Mercusys MA30N USB nettverksadapter'	'MA30N kombinerer 400Mbps på 2.4GHz båndet (perfekt for surfing of e-poster) og 867Mbps på 5GHz båndet (ideelt for HD-strømming og gaming), og gir deg full fleksibilitetnår du må fordele enhetene dine på dedikerte nettverk.'	'Nettverk > Trådløst nettverk > Trådløse nettverkskort'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66363&url=http://www.kjell.com/no/produkter/nettverk/tradlost-nettverk/tradlose-nettverkskort/mercusys-ma30n-usb-nettverksadapter-p66363'	'https://www.kjell.com/globalassets/productimages/916698_66363_01.jpg?ref=FBFA04A077&format=jpg&w=700'	'new'	'in_stock'	'329 NOK'		'6957939002077'	'Mercusys'		'P921262'											'low price'	'false'					
'66366'	'One For All Zapper + seniorfjernkontroll'	'Brukervennlig fjernkontroll for tre apparater. Ergonomisk utformet med store og tydelige knapper. Har også håndleddsrem. Leveres forhåndsprogrammert, og rette modeller velges med to enkle trinn (Simpleset). Har også manuell lærefunksjon for å lære seg kodene til en eksisterende fjernkontroll. Drives av 2 x AAA-batterier (følger ikke med).'	'Lyd og bilde > TV og tilbehør > Fjernkontroller > Universalfjernkontroll'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66366&url=http://www.kjell.com/no/produkter/lyd-og-bilde/tv-og-tilbehor/fjernkontroller/universalfjernkontroll/one-for-all-zapper-seniorfjernkontroll-p66366'	'https://www.kjell.com/globalassets/productimages/387990_66366.tif?ref=9EA0EA0512&format=jpg&w=700'	'new'	'in_stock'	'299.9 NOK'	'149.95 NOK'	'8716184059933'	'One For All'	'URC 6820'	'P903702'											'low price'	'false'					
'66371'	'Philips Hue Forlengelseskabel for utendørsbruk 5 m'	'5 meter lang forlengelseskabel for utendørsbruk. Kan kobles sammen med andre forlengelseskabler fra Philips Hue. Brukes som forlenger mellom strømadapter og det første lyspunktet, eller til å forlenge avstanden mellom to lyspunkter. Total makslengde per strømadapter er 30–35 meter. Fungerer med Philips Hue-strømadaptere (66375) (66376).'	'Smarte hjem > Philips Hue > Philips Hue utendørsbelysning'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66371&url=http://www.kjell.com/no/produkter/smarte-hjem/philips-hue/philips-hue-utendorsbelysning/philips-hue-forlengelseskabel-for-utendorsbruk-5-m-p66371'	'https://www.kjell.com/globalassets/productimages/900668_66371.jpg?ref=37FD3632EA&format=jpg&w=700'	'new'	'in_stock'	'249.9 NOK'		'8718696168721'	'Philips Hue'		'P919912'											'low price'	'false'					
'66373'	'Philips Hue Lily Spotlight for utendørsbruk'	'Lys opp mørke passasjer og skap stemning i hagen med Philips Hue-spotlighten Lily. Den kan settes ned i bakken eller monteres høyt, og du styrer den ved hjelp av en Philips Hue-bro (selges separat) og den tilhørende appen for mobilen eller nettbrettet. Med appen kan du endre fargen på lyset, planlegge tenning og slukking, dimme lyset og mye mer. Merk at denne spotlighten selges uten strømadapter. Suppler med Lily spotlight 3-pk. (66372), 40 W strømadapter (66375) eller 100 W strømadapter (66376).'	'Smarte hjem > Homekit'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66373&url=http://www.kjell.com/no/produkter/smarte-hjem/homekit/philips-hue-lily-spotlight-for-utendorsbruk-p66373'	'https://www.kjell.com/globalassets/productimages/900681_66373.jpg?ref=BEAD9C470F&format=jpg&w=700'	'new'	'in_stock'	'1269 NOK'		'8718696167977'	'Philips Hue'		'P919914'											'high price'	'false'					
'66375'	'Philips Hue 40 W strømadapter for utendørsbelysning'	'Separat 40 W-strømadapter for Philips Hue-belysningssystem for utendørsbruk. Gjør det mulig å utvide med flere Philips Hue-lavspenningslyskilder eller flytte lyskilder lenger bort fra stikkontakten. Hvor mange lyskilder du kan koble til, finner du ut ved å legge sammen wattallet for hver armatur opp til strømadapterens maksgrense på 40 W. Strømadapteren kan suppleres med opptil 35 meter forlengelseskabel. Lyskilder og forlengelseskabel (66371) selges separat.'	'Smarte hjem > Philips Hue > Philips Hue utendørsbelysning'		'https://ion.kjell.com/t/t?a=1487384409&as=1817440741&t=2&tk=1&cupa_sku=66375&url=http://www.kjell.com/no/produkter/smarte-hjem/philips-hue/philips-hue-utendorsbelysning/philips-hue-40-w-stromadapter-for-utendorsbelysning-p66375'	'https://www.kjell.com/globalassets/productimages/900698_66375.jpg?ref=48C6B20500&format=jpg&w=700'	'new'	'in_stock'	'579 NOK'		'8719514413979'	'Philips Hue'		'P919916'											'medium price'	'false'					
