'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'1325964'	'Samsung Galaxy Z Fold7 512GB (blue shadow)'	'Samsung Galaxy Z Fold7 512GB (blue shadow) - Smarttelefon, 8’’ Dynamic AMOLED 2X QXGA+, 12GB RAM, 200+12+10 og 10MP kamera - Mobil, tablets & klokker Mobiltelefoner'	'Mobil, tablets & klokker'	'Mobil, tablets & klokker'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325964&url=https://www.komplett.no/product/1325964/mobil-tablets-klokker/mobiltelefoner/samsung-galaxy-z-fold7-512gb-blue-shadow'	'https://www.komplett.no/img/p/400/1325964.jpg'		'in_stock'	'27490 NOK'		'8806097424376'	'Samsung'	'SM-F966BDBCEUB'									'NO:::0 NOK'			'Mobil, tablets & klokker > Mobil, tablets & klokker > Mobiltelefoner'	'Mobiltelefoner'					
'1325464'	'Pulsar Supergrip Grip Tape Razer Deathadder v3 Pro'	'Pulsar Supergrip Grip Tape Razer Deathadder v3 Pro - 0.5mm, designet og produsert i japan - Gaming utstyr Tilbehør til gaming- tastatur og mus'	'Gaming utstyr'	'Gaming utstyr'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325464&url=https://www.komplett.no/product/1325464/gaming/gaming-utstyr/tilbehoer-til-gaming-tastatur-og-mus/pulsar-supergrip-grip-tape-razer-deathadder-v3-pro'	'https://www.komplett.no/img/p/400/1325464.jpg'		'in_stock'	'139 NOK'		'8809773554800'	'Pulsar'	'SGRDV3'									'NO:::0 NOK'			'Gaming > Gaming utstyr > Tilbehør til gaming- tastatur og mus'	'Tilbehør til gaming- tastatur og mus'					
'1325664'	'dbramante1928 Google Pixel 10 Pro XL Iceland Pro Qi2 deksel (gjennomsiktig)'	'dbramante1928 Google Pixel 10 Pro XL Iceland Pro Qi2 deksel (gjennomsiktig) - 100% resirkulert materiale, 3m fallbeskyttelse, slank passform - Mobiltilbehør Mobildeksel'	'Mobiltilbehør'	'Mobiltilbehør'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325664&url=https://www.komplett.no/product/1325664/mobil-tablets-klokker/mobiltilbehoer/mobildeksel/dbramante1928-google-pixel-10-pro-xl-iceland-pro-qi2-deksel-gjennomsiktig'	'https://www.komplett.no/img/p/400/1325664.jpg'		'in_stock'	'399 NOK'		'5711428068590'	'dbramante1928'	'IPGXCL006859'									'NO:::0 NOK'			'Mobil, tablets & klokker > Mobiltilbehør > Mobildeksel'	'Mobildeksel'					
'1325064'	'XCover7 Pro Smartcase (sort)'	'XCover7 Pro Smartcase (sort) - Støtdempende deksel med feste for smart tilbehør - Mobiltilbehør Mobildeksel'	'Mobiltilbehør'	'Mobiltilbehør'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325064&url=https://www.komplett.no/product/1325064/mobil-tablets-klokker/mobiltilbehoer/mobildeksel/xcover7-pro-smartcase-sort'	'https://www.komplett.no/img/p/400/1325064.jpg'		'in_stock'	'349 NOK'		'8800292729328'	'Samsung'	'GP-FPG766ASABW'									'NO:::0 NOK'			'Mobil, tablets & klokker > Mobiltilbehør > Mobildeksel'	'Mobildeksel'					
'1325264'	'DeLonghi Riovelia automatisk kaffemaskin'	'DeLonghi Riovelia automatisk kaffemaskin - Kompakt og stilig design, Bean Switch-system, tilpasser bryggeprosessen til bønnene - Kaffemaskiner Espressomaskiner'	'Kaffemaskiner'	'Kaffemaskiner'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325264&url=https://www.komplett.no/product/1325264/hjem-fritid/kaffemaskiner/espressomaskiner/delonghi-riovelia-automatisk-kaffemaskin?& Home_Consumer Appliances'	'https://www.komplett.no/img/p/400/1325264.jpg'		'in_stock'	'9990 NOK'		'8004399026582'	'Delonghi'	'132213208'									'NO:::0 NOK'			'Hjem & fritid > Kaffemaskiner > Espressomaskiner'	'Espressomaskiner'					
'1325364'	'Pulsar Xlite V4 Mini Trådløs gamingmus (PRX edition)'	'Pulsar Xlite V4 Mini Trådløs gamingmus (PRX edition) - USB, 32000 DPI, 52g, driverless, Fullt tilpassbare taster og makroer - Gaming utstyr Gamingmus'	'Gaming utstyr'	'Gaming utstyr'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1325364&url=https://www.komplett.no/product/1325364/gaming/gaming-utstyr/gamingmus/pulsar-xlite-v4-mini-traadloes-gamingmus-prx-edition'	'https://www.komplett.no/img/p/400/1325364.jpg'		'in_stock'	'1790 NOK'	'1269 NOK'	'8809752621509'	'Pulsar'	'PXL41PRX'									'NO:::0 NOK'			'Gaming > Gaming utstyr > Gamingmus'	'Gamingmus'					
'1248865'	'Ubiquiti UniFi Protect G5 Dome kamera'	'Ubiquiti UniFi Protect G5 Dome kamera - 2K (4MP), ultra wide, IR, POE - Alarm & sikkerhet Overvåkningskameraer'	'Alarm & sikkerhet'	'Alarm & sikkerhet'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1248865&url=https://www.komplett.no/product/1248865/hjem-fritid/alarm-sikkerhet/overvaakningskameraer/ubiquiti-unifi-protect-g5-dome-kamera?& Home_Smart Home & Climate& Security'	'https://www.komplett.no/img/p/400/1248865.jpg'		'out_of_stock'	'2979 NOK'		'810084690208'	'Ubiquiti Networks'	'UVC-G5-Dome'									'NO:::0 NOK'			'Hjem & fritid > Alarm & sikkerhet > Overvåkningskameraer'	'Overvåkningskameraer'					
'1329605'	'Dreame Aqua10 Ultra Roller Robotstøvsuger (hvit)'	'Dreame Aqua10 Ultra Roller Robotstøvsuger (hvit) - Automatisk tømmestasjon, 30000Pa, går over terskel inntil 4.2cm med ProLeap - Støvsugere & rengjøring Robotstøvsugere'	'Støvsugere & rengjøring'	'Støvsugere & rengjøring'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1329605&url=https://www.komplett.no/product/1329605/hjem-fritid/stoevsugere-rengjoering/robotstoevsugere/dreame-aqua10-ultra-roller-robotstoevsuger-hvit?& Home_Dust & Cleaning'	'https://www.komplett.no/img/p/400/1329605.jpg'		'in_stock'	'14890 NOK'		'6978515253799'	'Dreame'	'RLH71DE-white'									'NO:::0 NOK'			'Hjem & fritid > Støvsugere & rengjøring > Robotstøvsugere'	'Robotstøvsugere'					
'1329205'	'Apple Crossbody stropp til iPhone (klassisk brun)'	'Apple Crossbody stropp til iPhone (klassisk brun) - Kan festes til utvalgte deksler fra Apple, justerbar lengde - Mobiltilbehør Annet tilbehør til mobil'	'Mobiltilbehør'	'Mobiltilbehør'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1329205&url=https://www.komplett.no/product/1329205/mobil-tablets-klokker/mobiltilbehoer/annet-tilbehoer-til-mobil/apple-crossbody-stropp-til-iphone-klassisk-brun'	'https://www.komplett.no/img/p/400/1329205.jpg'		'out_of_stock'	'799 NOK'		'195950653328'	'Apple'	'MGGK4ZM/A'									'NO:::0 NOK'			'Mobil, tablets & klokker > Mobiltilbehør > Annet tilbehør til mobil'	'Annet tilbehør til mobil'					
'1218392'	'ASUS TUF Gaming 850W Gold PSU'	'ASUS TUF Gaming 850W Gold PSU - ATX 3.1, 80Plus Gold, Modular - Strømforsyning Enheter'	'Strømforsyning'	'Strømforsyning'	'https://go.adt246.net/t/t?a=1658321299&as=1817440741&t=2&tk=1&cupa_sku=1218392&url=https://www.komplett.no/product/1218392/datautstyr/pc-komponenter/stroemforsyning/enheter/asus-tuf-gaming-850w-gold-psu'	'https://www.komplett.no/img/p/400/1218392.jpg'		'out_of_stock'	'1490 NOK'		'4711081786573'	'ASUS'	'90YE00S2-B0NA00'									'NO:::0 NOK'			'Datautstyr > Strømforsyning > Enheter'	'Enheter'					
