'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'1012510'	'IDEAL OF SWEDEN magnetisk Ringholder, sort'	'En multifunksjonell ringholder som er kompatibelt med alle telefoner og deksler'	'Mobilholder'	'Mobilholder > Mobiltilbehør > Mobil og foto'	'https://www.power.no/mobil-og-foto/mobiltilbehoer/mobilholder/ideal-of-sweden-magnetisk-ringholder-sort/p-1012510/'	'https://media.power-cdn.net/images/h-2b8b78a198e44b8baa9b951517b00019/products/1012510/1012510_12_150x150_t_g.webp'	'new'	'out_of_stock'	'249 NOK'	'121 NOK'	'7340168720635'	'IDEAL OF SWEDEN'	'IDMRM01'	'b_1012510'																	
'1012525'	'Eletra powerbank 10 000 mAh, svart'	'PowerBank med fulladet batteri rett fra esken'	'Powerbank'	'Powerbank > Ladere og kabler > Mobil og foto'	'https://www.power.no/mobil-og-foto/ladere-og-kabler/powerbank/eletra-powerbank-10-000-mah-svart/p-1012525/'	'https://media.power-cdn.net/images/h-0f2c38ccfa017cc58679f45122c6b9e9/products/1012525/1012525_4_1200x1200_t_g.webp'	'new'	'in_stock'	'299 NOK'	'161 NOK'	'4894526049690'	'ELETRA'	'EPB10BK'	'b_1012525'																	
'1016498'	'Dacota Platinum iPhone XR / 11 Tiger Glass 3D skjermbeskytter, svart'	'Beskyttelsesglass for iPhone 11/XR fra Dacota Platinum, avrundede kanter'	'Skjermbeskytter'	'Skjermbeskytter > Mobiltilbehør > Mobil og foto'	'https://www.power.no/mobil-og-foto/mobiltilbehoer/skjermbeskytter/dacota-platinum-iphone-xr-11-tiger-glass-3d-skjermbeskytter-svart/p-1016498/'	'https://media.power-cdn.net/images/h-ebea2efc114e6349a91c9f5ad2226612/products/1016498/1016498_6_1200x1200_t_g.webp'	'new'	'in_stock'	'449 NOK'	'171 NOK'	'4894526050146'	'Dacota Platinum'	'DPTGIPHXIRBK'	'b_1016498'																	
'1016978'	'PanzerGlass iPhone X/XS/11 Pro Case Friendly skjermbeskytter, svart'	'Herdet skjermbeskyttelse i glass for iPhone'	'Skjermbeskytter'	'Skjermbeskytter > Mobiltilbehør > Mobil og foto'	'https://www.power.no/mobil-og-foto/mobiltilbehoer/skjermbeskytter/panzerglass-iphone-xxs11-pro-case-friendly-skjermbeskytter-svart/p-1016978/'	'https://media.power-cdn.net/images/h-3121e2b3e2be04f92c513dda4427ff12/products/1016978/1016978_9_1200x1200_w_g.jpg'	'new'	'in_stock'	'499 NOK'	'221 NOK'	'5711724026645'	'PanzerGlass'	'2664'	'b_1016978'																	
'1030528'	'Apple Watch magnetisk Ladekabel 1 m'	'Magnetisk ladekabel til Apple Watch - gjør det enkelt og moro å lade klokka (1 m)'	'Lader til smartklokke'	'Lader til smartklokke > Smartklokker og wearables > Mobil og foto'	'https://www.power.no/mobil-og-foto/smartklokker-og-wearables/lader-til-smartklokke/apple-watch-magnetisk-ladekabel-1-m/p-1030528/'	'https://media.power-cdn.net/images/h-011a61fa125be9ef6b25329f726974ab/products/1030528/1030528_2_150x150_t_g.webp'	'new'	'in_stock'	'377 NOK'	'271 NOK'	'190199291102'	'Apple'	'MX2E2ZM/A'	'b_1030528'																	
'1038610'	'Dacota Platinum Qi trådløs Billader 10 W, svart'	'Bilholder for smarttelefon med Qi trådløs lading'	'Billader'	'Billader > Biltilbehør > Mobil og foto'	'https://www.power.no/mobil-og-foto/biltilbehoer/billader/dacota-platinum-qi-traadloes-billader-10-w-svart/p-1038610/'	'https://media.power-cdn.net/images/h-74f824d4687f1602e0d8b236d7836ecf/products/1038610/1038610_2_1200x1200_t_g.webp'	'new'	'in_stock'	'171 NOK'	'171 NOK'	'4894526052225'	'Dacota Platinum'	'DPQICAR10WBK'	'b_1038610'																	
'1044793'	'Cepter Rogue PC gaming headset'	'Flotte hodetelefoner for gaming med ergonomisk design og kraftige 50 mm elementer'	'Gaming headset'	'Gaming headset > PC og tilbehør > Gaming'	'https://www.power.no/gaming/pc-og-tilbehoer/gaming-headset/cepter-rogue-pc-gaming-headset/p-1044793/'	'https://media.power-cdn.net/images/h-ab92e90d007c9cf7fd0226a76444fd08/products/1044793/1044793_5_1200x1200_t_g.webp'	'new'	'in_stock'	'389 NOK'	'381 NOK'	'4894526052560'	'Cepter'	'CROGUECGH'	'b_1044793'																	
'1045154'	'Radicover Skim-Block kort'	'Holder deg beskyttet mot kriminelle som bruker kortleser for å skaffe betalingskortinformasjonen din'	'Reisetilbehør'	'Reisetilbehør > Reiseutstyr > Hage og fritid > Hjem og hage'	'https://www.power.no/hjem-og-hage/hage-og-fritid/reiseutstyr/reisetilbehoer/radicover-skim-block-kort/p-1045154/'	'https://media.power-cdn.net/images/h-b9b9777176413e9d1d9acb13446be2fe/products/1045154/1045154_4_150x150_t_g.webp'	'new'	'out_of_stock'	'199 NOK'	'81 NOK'	'5712869102089'	'Radicover'	'RAD208'	'b_1045154'																	
'1049422'	'Dacota Platinum USBC-Lightning kabel 1 M, rose gull'	'Med denne Lightning-kabelen på 1 meter kobler du en enhet med Lightning-kontakt til en USB-C-port for rask lading'	'USB ladekabel'	'USB ladekabel > Ladere og kabler > Mobil og foto'	'https://www.power.no/mobil-og-foto/ladere-og-kabler/usb-ladekabel/dacota-platinum-usbc-lightning-kabel-1-m-rose-gull/p-1049422/'	'https://media.power-cdn.net/images/h-c053ba24cb6132aca9c6b070247e8558/products/1049422/1049422_6_1200x1200_t_g.webp'	'new'	'out_of_stock'	'299 NOK'	'131 NOK'	'4894526052973'	'Dacota Platinum'	'DPMC34A1MRO'	'b_1049420'																	
'1049425'	'Dacota Platinum USBC-Lightning 2 M, rose gull'	'Med denne Lightning-kabelen på 2 meter kobler du en enhet med Lightning-kontakt til en USB-C-port for rask lading'	'USB ladekabel'	'USB ladekabel > Ladere og kabler > Mobil og foto'	'https://www.power.no/mobil-og-foto/ladere-og-kabler/usb-ladekabel/dacota-platinum-usbc-lightning-2-m-rose-gull/p-1049425/'	'https://media.power-cdn.net/images/h-6a49ff32e4e031d9127a665a49679ee0/products/1049425/1049425_6_1200x1200_t_g.webp'	'new'	'in_stock'	'349 NOK'	'161 NOK'	'4894526053000'	'Dacota Platinum'	'DPMC34A2MRO'	'b_1049423'																	
