'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'2001712'	'Canon CLI-8 / 0624B001 Photo Cyan - Blekkpatron Fotocyan'	'Fotocyan, original, blekkbeholder, for PIXMA iP6600D, iP6700D, MP950, MP960, MP970, Pro9000, Pro9000 Mark II'	'Printertilbehoer blekktoner'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2001712&url=https://www.proshop.no/Printertilbehoer-blekktoner/Canon-CLI-8-0624B001-Photo-Cyan-Blekkpatron-Fotocyan/2001712'	'https://www.proshop.no/Images/600x800/2001712_cd803ad6c520.jpg'		'in_stock'	'186 NOK'	'179 NOK'	'4960999272894'	'Canon'	'0624B001'									'NO:::95 NOK'									
'2006431'	'Brother TZ-FX651'	'Fleksibelt bånd, svart på gult, Rull (2.4 cm), 1 rull(er), for P-Touch 24XX, 2500, 27XX, 350, 3600, 550, 7500, 7600, 9200, 9500, 9600, 9700, 9800'	'Papir Fotopapir Etiketter'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2006431&url=https://www.proshop.no/Papir-Fotopapir-Etiketter/Brother-TZ-FX651/2006431'	'https://www.proshop.no/Images/600x800/2006431_5e4324a0095b.jpg'		'in_stock'	'270 NOK'	'255 NOK'	'4977766608701'	'Brother'	'TZ-FX651'									'NO:::95 NOK'									
'2006598'	'Brother Tape brother 12 mm white/black'	'Standardklebemiddel, hvitt på svart, Rull (1,2 cm x 8 m) 1 kassett(er) laminert teip, for Brother PT-D210, D600, H110; P-Touch PT-1005, 1880, E800, H110; P-Touch Cube Plus PT-P710'	'Papir Fotopapir Etiketter'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2006598&url=https://www.proshop.no/Papir-Fotopapir-Etiketter/Brother-Tape-brother-12-mm-whiteblack/2006598'	'https://www.proshop.no/Images/600x800/2006598_4e4547244091.jpg'		'in_stock'	'498 NOK'	'434 NOK'	'4977766052191'	'Brother'	'TZ335'									'NO:::95 NOK'									
'2010388'	'Canon EF 25 II Extension Tube Macro'	'Skjøterør, for EOS 1000, 1D, 50, 500, 5D, 7D, Kiss F, Kiss X2, Kiss X3, Rebel T1i, Rebel XS, Rebel XSi'	'Linser'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2010388&url=https://www.proshop.no/Linser/Canon-EF-25-II-Extension-Tube-Macro/2010388'	'https://www.proshop.no/Images/600x800/2010388_5d5d5a9282eb.png'		'in_stock'	'1973 NOK'	'1776 NOK'	'4960999204307'	'Canon'	'9199A001'									'NO:::0 NOK'									
'2015029'	'Canon EW-83E Lens Hood'	'Motlysblender, for P/N: 7261A013, 8806A009, 8806A011AA, 8806A013AA, 8806A023, EF1635IIUSM, EF17-40, EF17-40mm'	'Kamera Objektivtilbehoer'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2015029&url=https://www.proshop.no/Kamera-Objektivtilbehoer/Canon-EW-83E-Lens-Hood/2015029'	'https://www.proshop.no/Images/600x800/2015029_bf216add828b.jpg'		'in_stock'	'478 NOK'	'376 NOK'	'4960999035499'	'Canon'	'7276A001'									'NO:::95 NOK'									
'2025989'	'HP 70 Gloss Enhancer - Blekkpatron Glansforsterker'	'C9459A, skriverpatron, 1 x glansforsterker, for DesignJet Z2100, Z2100 GP, Z3100, Z3100 GP, Z3100ps GP, Z3200, Z3200ps'	'Printertilbehoer blekktoner'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2025989&url=https://www.proshop.no/Printertilbehoer-blekktoner/HP-70-Gloss-Enhancer-Blekkpatron-Glansforsterker/2025989'	'https://www.proshop.no/Images/600x800/2025989_eb7011e5b792.jpg'		'in_stock'	'1128 NOK'	'842 NOK'	'882780528765'	'HP'	'C9459A'									'NO:::95 NOK'									
'2046359'	'Brother Thermal Paper Labels 17x87mm'	'Svart på hvitt, 17 x 87 mm 300 etikett(er) (1 rull(er) x 300 filmappeetiketter, for Brother QL-1050, 1060, 1110, 500, 550, 560, 570, 580, 600, 650, 700, 710, 720, 820'	'Papir Fotopapir Etiketter'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2046359&url=https://www.proshop.no/Papir-Fotopapir-Etiketter/Brother-Thermal-Paper-Labels-17x87mm/2046359'	'https://www.proshop.no/Images/600x800/2046359_3359b208ad77.jpg'		'in_stock'	'111 NOK'	'100 NOK'	'4977766628150'	'Brother'	'DK11203'									'NO:::95 NOK'									
'2103815'	'Targus Privacy Screen 22.0"" Widescreen'	'Notebookpersonvernsfilter, 22"" bredde, svart, gjennomsiktig, for Dell E2210; E Series E2213; Professional P2213'	'Kabinett tilbehoer kjoelepasta mv'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2103815&url=https://www.proshop.no/Kabinett-tilbehoer-kjoelepasta-mv/Targus-Privacy-Screen-220-Widescreen/2103815'	'https://www.proshop.no/Images/600x800/2103815_a6851a47d363.jpg'		'in_stock'	'960 NOK'	'420 NOK'	'5024442896606'	'Targus'	'ASF220WEU'									'NO:::95 NOK'									
'2110249'	'HP 35A / CB435A Black Toner - Laser toner Svart'	'Svart, original, LaserJet, tonerpatron (CB435A), for LaserJet 1005, P1005, P1006, P1007, P1008, P1009'	'Printertilbehoer blekktoner'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2110249&url=https://www.proshop.no/Printertilbehoer-blekktoner/HP-35A-CB435A-Black-Toner-Laser-toner-Svart/2110249'	'https://www.proshop.no/Images/600x800/2110249_61688166d4d1.jpg'		'in_stock'	'998 NOK'	'933 NOK'	'0882780905207'	'HP'	'CB435A'									'NO:::95 NOK'									
'2115662'	'Canon CLI-521 / 2937B001 Grey - Blekkpatron Grey'	'9 ml, grå, original, blekkbeholder, for PIXMA MP980, MP990'	'Printertilbehoer blekktoner'		'https://go.adt253.net/t/t?a=1870470288&as=1817440741&t=2&tk=1&cupa_sku=2115662&url=https://www.proshop.no/Printertilbehoer-blekktoner/Canon-CLI-521-2937B001-Grey-Blekkpatron-Grey/2115662'	'https://www.proshop.no/Images/600x800/2115662_d7bb717c3d30.jpg'		'in_stock'	'176 NOK'	'104 NOK'	'4960999577555'	'Canon'	'2937B001'									'NO:::95 NOK'									
