'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'1281'	'Sleeving Kit - Hvid'		'Sleeving Kabler'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=1281&url=https://sharkgaming.no/sleeving-hvid'	'https://sharkgaming.no/media/catalog/product/s/l/sleeve-white.png'		'in_stock'	'299 NOK'		''	'SharkGaming'			'unisex'																
'1282'	'Sleeving Kit - Sort'		'Sleeving Kabler'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=1282&url=https://sharkgaming.no/sleeving-sort'	'https://sharkgaming.no/media/catalog/product/b/l/blacksleevingpack.png'		'in_stock'	'299 NOK'		''	'SharkGaming'			'unisex'																
'2914'	'Shark Brutality Gaming-PC'	'Våre mest populære  Shark Brutality kan lett kjøre selv de nyeste og mest krevende spillene i full-HD med et høyt antall bilder per sekund. Dette er fordi maskinen er utstyrt med ultrarask RAM, et dedikert gamingchipsett og sist, men ikke minst, den kraftigste CPU-en (prosessoren) og GPU-en (grafikkortet) på markedet i sin prisklasse.     Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.    Alle maskinene i Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på et dedikert gaminghovedkort fra ASUS/MSI som er fullproppet med fordeler som gaminglydkort og nettverkskort.    Kjølig, stabil og stillegående.  Uansett antall timer man spiller eller datamengder som skal beregnes, fortsetter maskin like kjølig, stabilt og stillegående.  Det skyldes blant annet at CPU-ene er utstyrt med vedlikeholdsfri vannkjøling samt et gjennomtenkt gamingkabinett med supergod luftgjennomstrømming.    Skreddersydd løsning, klar for oppgradering  Maskinenes standardoppsett anbefales til de fleste gamere, men du har også muligheten til å velge egne komponenter i konfigurasjonsmodulen nederst på siden.  Vi har verken spart på PSU eller hovedkort, noe som betyr at maskinen er ekstremt oppgraderingsklar. Ved kjøp av oppgraderingskomponenter, monteres og installeres disse av Shark Gaming inntil 1 år av garantitiden.    Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.  Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på ekstraordinær kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler når kunden mottar den.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2914&url=https://sharkgaming.no/shark-brutality'	'https://sharkgaming.no/media/catalog/product/m/s/ms380_1.png'		'in_stock'	'20299 NOK'		'5745000293025'	'SharkGaming'			'unisex'																
'2944'	'White Shark Megalodon Gaming PC'	'Seriens mektigste  White Shark Megalodon er så kraftig at selv de mest krevende spillene kan nytes på høye grafikkinnstillinger og et høyt antall bilder per sekund. Dette er fordi maskinen er utstyrt med ultrarask RAM, et dedikert gamingchipsett, en av de kraftigste CPU-ene, og ikke minst et super high-end gaminggrafikkort.   Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.  Alle maskinene i Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på dedikerte gaminghovedkort fra ASUS/MSI, fylt av fordeler som SupremeFX / AudioBoost lydkort og Intel/KillerLANs nyeste nettverkskort (inkl. LANGUARD).       Kjølig, stabil og stillegående  Uansett antall timer du skal spille eller mengder av data du skal håndtere, forsetter maskinen like kjølig, stabilt og stillegående.   Det skyldes blant annet at CPU-ene er utstyrt med vedlikeholdsfri vannkjøling av ypperste klasse samt et gjennomtenkt gamingkabinett med supergod luftgjennomstrømming og støydemping.    Skreddersydd løsning, klar for oppgraderinger  Maskinenes standardoppsett anbefales til de fleste gamere, men du har også muligheten til å velge egne komponenter i konfigurasjonsmodulen nederst på siden.  Vi har verken spart på PSU eller hovedkort, noe som betyr at maskinen er ekstremt oppgraderingsklar. Ved kjøp av oppgraderingskomponenter hos SG, monteres og installeres disse gratis.    Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.  Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på flott kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler når kunden mottar den.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2944&url=https://sharkgaming.no/white-shark-megalodon'	'https://sharkgaming.no/media/catalog/product/d/s/dsc09376-2-min_1.png'		'in_stock'	'34299 NOK'		'5745000293162'	'SharkGaming'			'unisex'																
'2945'	'Great White Shark Gaming PC'	'Stilrent design  Great White Shark Ultimator er en brutal SLI-gamingmaskin, samme som Mighty Shark Ultimator, men i en elegant svart/hvit design. Maskinen er utstyrt med ultrarask RAM, et dedikert gamingchipsett, en av de kraftigste CPU-ene, og ikke minst 2 stk. super high-end gaminggrafikkort (SLI).  Resultatet er en PC som er, akkurat som hvithaien, veldig elegant å se på og som selvfølgelig klarer de mest krevende spillene på en så brutal måte at det nesten er skremmende.   Mighty Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.  Alle maskinene i M. Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på dedikerte gaminghovedkort fra ASUS/MSI, fylt av fordeler som SupremeFX / AudioBoost lydkort og Intel/KillerLANs nyeste nettverkskort (inkl. LANGUARD).       Kjølig, stabil og stillegående!  Uansett antall timer du skal spille eller mengder av data du skal håndtere, forsetter maskinen like kjølig, stabilt og stillegående.   Det skyldes blant annet at CPU-ene er utstyrt med vedlikeholdsfri vannkjøling (BloodFreezer 510LC) samt et gjennomtenkt gamingkabinett med supergod luftgjennomstrømming og støydemping.       Skreddersydd og klar for oppgraderinger i fremtiden.  Maskinenes standardoppsett anbefales til de fleste gamere, men du har også muligheten til å velge egne komponenter i konfigurasjonsmodulen nederst på siden.  Vi har verken spart på PSU eller hovedkort, noe som betyr at maskinen er ekstremt oppgraderingsklar. Ved kjøp av oppgraderingskomponenter hos SG, monteres og installeres disse gratis.     Montert og testet av datahaier.  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.    Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på ekstraordinær kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler når kunden mottar den.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2945&url=https://sharkgaming.no/great-white-shark'	'https://sharkgaming.no/media/catalog/product/d/s/dsc09376-2-min.png'		'in_stock'	'55999 NOK'		'5745000293018'	'SharkGaming'			'unisex'																
'2947'	'SharkGaming Esport Edition Gaming-PC'	'Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.  Alle maskinene i Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på dedikerte gaminghovedkort fra ASUS/MSI, fylt av fordeler som SupremeFX / AudioBoost lydkort og Intel/KillerLANs nyeste nettverkskort (inkl. LANGUARD).     Kjølig, stabil og stillegående  Uansett antall timer du skal spille eller mengder av data du skal håndtere, forsetter maskinen like kjølig, stabilt og stillegående.   Det skyldes blant annet at CPU-ene er utstyrt med vedlikeholdsfri vannkjøling samt et gjennomtenkt gamingkabinett med supergod luftgjennomstrømming og støydemping.    Skreddersydd løsning, klar for oppgraderinger  Maskinenes standardoppsett anbefales til de fleste gamere, men du har også muligheten til å velge egne komponenter i konfigurasjonsmodulen nederst på siden.  Vi har verken spart på PSU eller hovedkort, noe som betyr at maskinen er ekstremt oppgraderingsklar. Ved kjøp av oppgraderingskomponenter hos SG, monteres og installeres disse gratis.       Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.    Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på flott kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler når kunden mottar den.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2947&url=https://sharkgaming.no/shark-gaming-esport-edition'	'https://sharkgaming.no/media/catalog/product/s/e/see_bf24_5_png.png'		'in_stock'	'21799 NOK'	'19499 NOK'	'5745000293094'	'SharkGaming'			'unisex'																
'2976'	'Max Bite Brutality Gaming-PC'	'Seriens mest populære!  Max Bite Brutality er nesten like kraftig som Shark Brutality fra Shark-serien. Maskinen klarer alle de nyeste spillene på høy grafikkinnstilling og med et høyt antall bilder per sekund.   Maskinen utmerker seg med noen av de kraftigste prosessorene i klassen (prosessor og grafikkort).  Max Bite-serien er enkle gamingmaskiner hvor fokuset ligger på pris kontra ytelse – med andre ord ""kraftig bitt for pengene"".    Skreddersydd og oppgraderingsklar  Maskinen utmerker seg med en kraftig CPU og en solid strømforsyning, som med andre ord betyr at den er veldig oppgraderingsklar.  Derfor er den en perfekt maskin for gamere med litt mindre budsjett, og maskinen kan enkelt oppgraderes senere med alt fra grafikkort til ekstra harddisk når man får råd til dette.   Ved kjøp av oppgraderingskomponenter hos Shark Gaming, monteres, installeres og testes disse gratis.   Du kan velge komponenter helt ut fra egne behov nederst på denne siden.        Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.    Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på ekstraordinær kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler ved levering.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2976&url=https://sharkgaming.no/max-bite-brutality'	'https://sharkgaming.no/media/catalog/product/s/h/sharkmaelstromflow_01_2.png'		'in_stock'	'10899 NOK'		'5745000293292'	'SharkGaming'			'unisex'																
'2980'	'Max Bite Ultimator Gaming-PC'	'Et altetende monster  Max Bite Ultimator er nesten like kraftig som Shark Ultimator fra Shark-serien. Maskinen klarer alle de nyeste spillene på høy grafikkinnstilling og med et høyt antall bilder per sekund.   Maskinen utmerker seg med noen av de kraftigste prosessorene i klassen (prosessor og grafikkort).  Max Bite-serien er enkle gamingmaskiner hvor fokuset ligger på pris kontra ytelse – med andre ord ""kraftig bitt for pengene"".  Skreddersydd og oppgraderingsklar  Maskinen utmerker seg med en kraftig CPU og en solid strømforsyning, som med andre ord betyr at den er veldig oppgraderingsklar.Derfor er den en perfekt maskin for gamere med litt mindre budsjett, og maskinen kan enkelt oppgraderes senere med alt fra grafikkort til ekstra harddisk når man får råd til dette.   Ved kjøp av oppgraderingskomponenter hos Shark Gaming, monteres, installeres og testes disse gratis.   Du kan velge komponenter helt ut fra egne behov nederst på denne siden.  Montert og testet av datahaier.  Vår kjernekompetanse er helt enkelt gamingmaskiner.Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.  Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin.Vi legger spesielt fokus på ekstraordinær kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest.Dermed minsker risikoen for at maskinen har feil eller mangler ved levering.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2980&url=https://sharkgaming.no/max-bite-ultimator'	'https://sharkgaming.no/media/catalog/product/s/3/s380-ba_03_1.png'		'in_stock'	'16399 NOK'		'5745000293049'	'SharkGaming'			'unisex'																
'2981'	'Max Bite Bloodlust Gaming-PC'	'Seriens kraftigste gamingmaskin  Max Bite Bloodlust er nesten like kraftig som Shark Bloodlust fra Shark-serien. Maskinen klarer alle de nyeste spillene med maksimal grafikkinnstilling og et høyt antall bilder per sekund.   Maskinen utmerker seg med noen av de kraftigste prosessorene i klassen (prosessor og grafikkort).  Max Bite-serien er enkle gamingmaskiner hvor fokuset ligger på pris kontra ytelse – med andre ord ""kraftig bitt for pengene"".        Skreddersydd og oppgraderingsklar  Maskinen utmerker seg med en kraftig CPU og en solid strømforsyning, som med andre ord betyr at den er veldig oppgraderingsklar.   Ved kjøp av oppgraderingskomponenter hos Shark Gaming, monteres, installeres og testes disse gratis.   Du kan velge komponenter helt ut fra egne behov nederst på denne siden.        Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.  Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på ekstraordinær kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler ved levering.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2981&url=https://sharkgaming.no/max-bite-bloodlust'	'https://sharkgaming.no/media/catalog/product/s/3/s380-ba_03.png'		'in_stock'	'13999 NOK'		'5745000293285'	'SharkGaming'			'unisex'																
'2989'	'Almighty Shark Gaming PC'	'Vår kraftigste maskin til dags dato  Almighty Shark er den aller beste gamingmaskinen vi kan tilby i dag. Maskinen er utstyrt med den raskes SSD-disken, som sammen bidrar til å redusere ventetidene veldig. Vi har også installert et helt unikt LED-lyssystem som kan stilles inn etter behov.   Mighty Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.  Alle maskinene i M. Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på dedikerte gaminghovedkort fra ASUS/MSI.       Kjølig, stabil og stillegående  Til tross for det høye overklokkingsnivået, går maskinen kjølig, stabilt og stille, uansett antall spilletimer eller mengder data som beregnes.   Det skyldes blant annet at CPU-ene er utstyrt med vedlikeholdsfri vannkjøling av ypperste klasse og at hele maskinen er bygd i et gjennomtenkt gamingkabinett med formidabel luftgjennomstrømming.       Skreddersydd løsning, klar for oppgraderinger  Maskinenes standardoppsett anbefales til de fleste gamere, men du har også muligheten til å velge egne komponenter i konfigurasjonsmodulen nederst på siden.  Vi har verken spart på PSU eller hovedkort, noe som betyr at maskinen er ekstremt oppgraderingsklar. Ved kjøp av oppgraderingskomponenter hos SG, monteres og installeres disse gratis.       Montert og testet av datahaier  Vår kjernekompetanse er helt enkelt gamingmaskiner. Derfor mener vi at vi er bransjeleder i Norden når det gjelder kunnskap og erfaring.  Vi bruker flere timer på å montere, teste og klargjøre hver eneste maskin. Vi legger spesielt fokus på flott kabelføring, test av eksterne USB-/lydporter samt en lang og intensiv stresstest. Dermed minsker risikoen for at maskinen har feil eller mangler når kunden mottar den.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=2989&url=https://sharkgaming.no/almighty-shark'	'https://sharkgaming.no/media/catalog/product/o/1/o11vpx_2.png'		'in_stock'	'59199 NOK'		'5745000293179'	'SharkGaming'			'unisex'																
