'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'36-8322'	'Luftavfukter 20 liter, 52 m2'	'Avfukt opptil 20 liter/døgn i rom som vaskerommet, kjelleren og garasjen. Bruker....'	'Luftavfukter'	'Elektro > Klima og luftkvalitet > Luftavfukter'	'https://www.clasohlson.com/no/Luftavfukter-20-liter,-52-m2/p/36-8322'	'https://images.clasohlson.com/medias/sys_master/hca/h99/68634469335070.png'	'new'	'in_stock'	'2499 NOK'	'1999 NOK'		'CLAS OHLSON'																			
'41-1802'	'Airthings Wave Plus, smart luftmåler og radonmåler'	'Brukervennlig og tydelige målinger av luften innendørs – overvåk via app. Airthi....'	'Radonmåler'	'Elektro > Klima og luftkvalitet > Radonmåler'	'https://www.clasohlson.com/no/Airthings-Wave-Plus,-smart-luftmaler-og-radonmaler/p/41-1802'	'https://images.clasohlson.com/medias/sys_master/hd0/h43/68655675342878.jpg'	'new'	'in_stock'	'2299 NOK'	'1490 NOK'		'AIRTHINGS'																			
'36-7780'	'Mill SG2000MEC frittstående gulvovn, 2000 W'	'Varmeovn av høy kvalitet i norsk design for rask midlertidig varme i rom på cirk....'	'Gulvovner'	'Elektro > Varmeovner > Gulvovner'	'https://www.clasohlson.com/no/Mill-SG2000MEC-frittstaende-gulvovn,-2000-W/p/36-7780'	'https://images.clasohlson.com/medias/sys_master/h79/hde/68635827503134.png'	'new'	'in_stock'	'879 NOK'	'699 NOK'		'MILL'																			
'36-8245'	'Mill PA1300 panelovn 1300 W med WiFi gen 3.'	'Best i test – varmeovn med jevn temperatur og....'	'WiFi-ovner'	'Elektro > Varmeovner > WiFi ovner'	'https://www.clasohlson.com/no/Mill-PA1300-panelovn-1300-W-med-WiFi-gen-3./p/36-8245'	'https://images.clasohlson.com/medias/sys_master/ha3/h2b/68637064593438.png'	'new'	'in_stock'	'2099 NOK'	'1599 NOK'		'MILL'					' Hvit '														
'40-7818-1'	'Cocraft verktøyskap'	'Robust pulverlakkert verktøyvogn i en kraftig metallkonstruksjon. Kulelagrede ek....'	'Verktøykasser og -vogner'	'Jernvare > Garasje og verksted > Verktøykasser og  vogner'	'https://www.clasohlson.com/no/Cocraft-verktoyskap/p/40-7818-1'	'https://images.clasohlson.com/medias/sys_master/hfd/h00/68631973789726.jpg'	'new'	'in_stock'	'3999 NOK'	'2999 NOK'		'COCRAFT'																			
'44-6070'	'Kärcher SE 5 Upholstery tepperenser og tekstilvasker'	'Til grundig rengjøring av tekstiler, møbler og harde flater. Kärcher SE 5 Uphols....'	'Tekstilrensere'	'Hjem > Rengjøring > Tekstilrensere'	'https://www.clasohlson.com/no/Karcher-SE-5-Upholstery-tepperenser-og-tekstilvasker/p/44-6070'	'https://images.clasohlson.com/medias/sys_master/h3d/h9e/68637715824670.png'	'new'	'in_stock'	'3999 NOK'	'3499 NOK'		'KÄRCHER'																			
'36-8467'	'Pax Passad 31 baderomsvifte med kaldrasspjeld'	'Styres med lyssensor, fuktighetssensor eller manuelt via strømbryter. Pax Passad....'	'Baderomsvifter'	'Elektro > Ventilasjon og varmesystem > Baderomsvifter'	'https://www.clasohlson.com/no/Pax-Passad-31-baderomsvifte-med-kaldrasspjeld/p/36-8467'	'https://images.clasohlson.com/medias/sys_master/h8a/hcd/68635856961566.png'	'new'	'out_of_stock'	'2395 NOK'	'1799 NOK'		'PAX'																			
'44-9967'	'Philips 5000 series S5467/17 barbermaskin Wet and Dry'	'Barber skjegget eller trimme bart og kinnskjegg trådløst. Philips 5000 series S5....'	'Barbermaskiner'	'Hjem > Kropp og velvære > Barbermaskiner'	'https://www.clasohlson.com/no/Philips-5000-series-S5467-17-barbermaskin-Wet-and-Dry/p/44-9967'	'https://images.clasohlson.com/medias/sys_master/h3c/h50/68641749467166.png'	'new'	'in_stock'	'1199 NOK'	'499 NOK'		'PHILIPS'																			
'44-5039'	'Philips Sonicare DiamondClean 9000 elektrisk tannbørste, Special Edition'	'Sonisk tannbørste for hvitere tenner og sunne....'	'Elektrisk tannbørste'	'Hjem > Kropp og velvære > Elektrisk tannbørste'	'https://www.clasohlson.com/no/Philips-Sonicare-DiamondClean-9000-elektrisk-tannborste,-Special-Edition/p/44-5039'	'https://images.clasohlson.com/medias/sys_master/h87/h37/68655879323678.png'	'new'	'in_stock'	'2299 NOK'	'1599 NOK'		'PHILIPS'					' Blå '													'stk'	
'44-5038'	'Philips Sonicare DiamondClean 9000 elektrisk tannbørste, Special Edition'	'Sonisk tannbørste for hvitere tenner og sunne....'	'Elektrisk tannbørste'	'Hjem > Kropp og velvære > Elektrisk tannbørste'	'https://www.clasohlson.com/no/Philips-Sonicare-DiamondClean-9000-elektrisk-tannborste,-Special-Edition/p/44-5038'	'https://images.clasohlson.com/medias/sys_master/h90/hc7/68655878864926.png'	'new'	'in_stock'	'2299 NOK'	'1599 NOK'		'PHILIPS'					' Rosa '													'stk'	
'44-9430'	'Philips Sonicare 5300 Duo elektrisk tannbørste svart, hvit, 2-pakning'	'Avansert, elektrisk tannbørste i 2-pakning – perfekt for par. Philips Sonicare 5....'	'Elektrisk tannbørste'	'Hjem > Kropp og velvære > Elektrisk tannbørste'	'https://www.clasohlson.com/no/Philips-Sonicare-5300-Duo-elektrisk-tannborste-svart,-hvit,-2-pakning/p/44-9430'	'https://images.clasohlson.com/medias/sys_master/h76/h96/68655880339486.jpg'	'new'	'in_stock'	'1899 NOK'	'999 NOK'		'PHILIPS'																			
'44-9512'	'Philips OneBlade reserveblader 4-pakning, QP240/50'	'Refillblader til Philips OneBlade – inneholder 4 blader. Philips OneBlade QP240/....'	'Barberblad'	'Hjem > Kropp og velvære > Barberblad'	'https://www.clasohlson.com/no/Philips-OneBlade-reserveblader-4-pakning,-QP240-50/p/44-9512'	'https://images.clasohlson.com/medias/sys_master/hde/hd9/68637743185950.png'	'new'	'in_stock'	'529 NOK'	'399 NOK'		'PHILIPS'																			
