'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'5011304385'	'Logitech Roommate + Tap Ip Eu'	'RoomMate gjør det enkelt å sette i drift møterommet Fleksibel, elegant og sikker Se statistikk og bruk i Logitech Sync Støtter Teams, Zoom og mange flere Kom raskt og enkelt i gang med romløsninger Enkel og praktisk installasjon – elegant tilstedeværelse Enkel og sikker kabelgjennomføring Fleksible monteringsmuligheter'	'Hardware/Kontor, hjem og skole/Samarbeid/Møterom/Tilbehør & lisenser/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011304385&url=https://www.dustinhome.no/product/5011304385/roommate-tap-ip-eu?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d200001001798048/logitech-roommate-tap-ip-eu.jpg'		'in_stock'	'17490 NOK'		'5099206102101'	'Logitech'										'NO:::0 NOK'									
'5011356881'	'Be Quiet! Silent Base 802 Window Black Midi Tower Sort Midi Tower Sort'	'be quiet! Silent Base 802 Window Black Midi Tower Sort Midi Tower Sort'	'Hardware/PC-komponenter/PC-kabinetter/Miditower-kabinett/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011356881&url=https://www.dustinhome.no/product/5011356881/silent-base-802-window-black-midi-tower-sort?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d2000010011101470/be-quiet-silent-base-802-window-black-midi-tower-sort-midi-tower-sort.jpg'		'in_stock'	'2299 NOK'		'4260052188385'	'be quiet!'										'NO:::99 NOK'									
'5011023931'	'Brother Toner Magenta Tn-423m 4k - Dcp-l8410'	'Når du har investert i en høy kvalitet Brothers skriver ønsker du å få de beste resultatene hver gang - Brothers tonere er produsert etter de høyeste mulige standarder, noe som gir deg kvalitets utskrifter og stor verdi.'	'Hardware/Skrivere & forbruksvarer/Blekk, tonere og forbruksvarer/Toner/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011023931&url=https://www.dustinhome.no/product/5011023931/toner-magenta-tn-423m-4k---dcp-l8410?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d200001003153419/brother-toner-magenta-tn-423m-4k---dcp-l8410.jpg'		'in_stock'	'2599 NOK'		'4977766771696'	'Brother'										'NO:::99 NOK'									
'5011349023'	'Lenovo Thinkcentre Neo 50q Core I5 16gb 256gb'	'Et kompakt 1-liters chassis inneholder en 13. generasjon Intel Core i5-prosessor, 16 GB DDR4-minne og en PCIe 4.0 NVMe SSD for å sikre rask multitasking og oppstartstider. Integrert Wi-Fi 6, Bluetooth 5.1 og en rekke USB-C-, USB-A-, HDMI- og DisplayPort-porter sørger for at periferiutstyret og nettverkene dine forblir sømløst tilkoblet. Innebygd TPM, BIOS- og HDD-passordbeskyttelse samt en Kensington-låsport bidrar til å beskytte dine kritiske forretningsdata.'	'Hardware/PC & nettbrett/Stasjonære datamaskiner/Stasjonære for bedrifter/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011349023&url=https://www.dustinhome.no/product/5011349023/thinkcentre-neo-50q?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d2000010011497764/lenovo-thinkcentre-neo-50q-core-i5-16gb-256gb.png'		'in_stock'	'9899 NOK'		'197528042015'	'Lenovo'										'NO:::0 NOK'									
'5011351339'	'Samsung Qh65c 24/7 65"" Va 700cd/m² 3840 X 2160pixels'	'Slank design med liten samlet dybde Blendingsfri og lyssterk med 700 nits Profesjonell skjerm optimalisert for døgnkontinuerlig drift'	'Hardware/Datautstyr & tilbehør/Skjermer & tilbehør/Digital signage/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011351339&url=https://www.dustinhome.no/product/5011351339/qh65c-247?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d2000010011094235/samsung-qh65c-247-65-va-700cdm%c2%b2-3840-x-2160pixels.jpg'		'in_stock'	'21799 NOK'		'8806094975017'	'Samsung'										'NO:::799 NOK'									
'5011313906'	'Forming Function Desk Lamp Niila White'	'Forming Function Desk Lamp Niila White'	'Hardware/Kontor, hjem og skole/Belysning/Bordlamper/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011313906&url=https://www.dustinhome.no/product/5011313906/desk-lamp-niila-white?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d200001001881441/forming-function-desk-lamp-niila-white.jpg'		'in_stock'	'1499 NOK'		'7350030256919'	'Forming Function'										'NO:::99 NOK'									
'5011311371'	'Sandisk Extreme 64 Gb Microsdxc Uhs-i Klasse 10 64gb Microsdxc Uhs-i'	'UHS‑I-hastigheter med opptil 170 MB/s lesing og opptil 80 MB/s skriving (klasse 10/U3/V30) muliggjør raske overføringer og pålitelig videoopptak. App-ytelsesklasse A2 gir raskere app-oppstart og jevnere bruk på kompatible enheter. Robust design som tåler støt, røntgen og vann; fungerer i temperaturer fra −25 °C til 85 °C og leveres med SD-adapter for bred enhetskompatibilitet.'	'Hardware/Lyd & bilde/Foto og video/Minnekort/Micro SDHC & SDXC/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011311371&url=https://www.dustinhome.no/product/5011311371/extreme-64-gb-microsdxc-uhs-i-klasse-10?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d200001001860802/sandisk-extreme-64-gb-microsdxc-uhs-i-klasse-10-64gb-microsdxc-uhs-i.jpg'		'in_stock'	'159 NOK'		'619659193386'	'SanDisk'										'NO:::99 NOK'									
'5011307621'	'Logitech 910-006572 Datamus Kontor Høyre Hendt Bluetooth Laser 8000 Dpi Bluetooth'	'En ikonisk mus i ny utgave.'	'Hardware/Datautstyr & tilbehør/Mus/Standardmus/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011307621&url=https://www.dustinhome.no/product/5011307621/910-006572-datamus-kontor-hoyre-hendt-bluetooth-laser-8000-dpi?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d2000010011521410/logitech-910-006572-datamus-kontor-h%c3%b8yre-hendt-bluetooth-laser-8000-dpi-bluetooth.png'		'in_stock'	'1599 NOK'		'5099206103757'	'Logitech'										'NO:::99 NOK'									
'5011128657'	'Lindy Port Blocker Usb-c White 4-pack'	'Beskytt USB Type-C-portene dine med en praktisk 4-pakning av portblokker som leveres med en ekstra nøkkel for enkel installasjon. Laget i en stilren hvit farge av Lindy, tilbyr disse blokkene en enkel og effektiv måte å kontrollere tilgangen til enhetene dine. Med en lettvektsdesign på kun 10 g, gir de en ryddig løsning for å opprettholde port-sikkerhet uten unødvendig volum.'	'Hardware/Nettverk/Sikkerhetsprodukter/Portsikkerhet/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011128657&url=https://www.dustinhome.no/product/5011128657/port-blocker-usb-c-white-4-pack?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d200001001976270/lindy-port-blocker-usb-c-white-4-pack.jpg'		'in_stock'	'549 NOK'		'4002888404273'	'Lindy'										'NO:::99 NOK'									
'5011064595'	'Multibrackets M Deskstand Basic Triple'	'Dette skrivebordsstativet støtter opptil tre skjermer med størrelser fra 15"" til 27"" og er kompatibelt med både 75 x 75 mm og 100 x 100 mm VESA-fester. Det justerbare designet tilbyr manuell høydejustering (100 - 450 mm), en tilt-rekkevidde på -45° til 45°, en sving-rekkevidde på -45° til 45°, og full 360° rotasjon for å tilpasse visningsvinkelen din. Bygget med slitesterk aluminium og stål i en elegant svart finish, inkluderer det kabelhåndtering og et frittstående design som gjør oppsettet både enkelt og effektivt.'	'Hardware/Datautstyr & tilbehør/Skjermer & tilbehør/Skjermtilbehør/Fester/'		'https://in.dustinhome.no/t/t?a=1755471358&as=1817440741&t=2&tk=1&cupa_sku=5011064595&url=https://www.dustinhome.no/product/5011064595/m-deskstand-basic-triple?ssel=true&priceinclusivevat=1'	'https://cf-images.dustin.eu/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D500%2Cfit%3Dcontain/image/d20000100193659/multibrackets-m-deskstand-basic-triple.jpg'		'in_stock'	'2095 NOK'		'7350073733392'	'Multibrackets'										'NO:::99 NOK'									
