'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'4260752333450'	'Sennheiser HDB 630'		'Trådløs hodetelefon'		'https://www.hifiklubben.no/sennheiser-hdb-630-traadloes-hodetelefon/senhdb630bk/'	'https://images.hifiklubben.com/image/080c334e-d029-40f6-89b4-2135b59ed723'	'new'			'6290 NOK'		'Sennheiser'					'Sort'													'piece'	
'5706957019014'	'Argon Audio FENRIS A4'		'Kompakt høyttaler - Aktive'		'https://www.hifiklubben.no/argon-audio-fenris-a4-kompakt-hoeyttaler---aktive/argfenrisa4wa/'	'https://images.hifiklubben.com/image/fc4fc027-19d3-4bcc-9087-8852b5a6c4ce'	'new'			'4498 NOK'		'Argon Audio'					'Trefarget'													'set'	
'5706957014323'	'Argon Audio FENRIS A4'		'Kompakt høyttaler - Aktive'		'https://www.hifiklubben.no/argon-audio-fenris-a4-kompakt-hoeyttaler---aktive/argfenrisa4bk/'	'https://images.hifiklubben.com/image/6be7ac35-f33c-4ad8-a6b3-ecc539165db8'	'new'			'4498 NOK'		'Argon Audio'					'Sort'													'set'	
'5706957014347'	'Argon Audio FENRIS A4'		'Kompakt høyttaler - Aktive'		'https://www.hifiklubben.no/argon-audio-fenris-a4-kompakt-hoeyttaler---aktive/argfenrisa4wh/'	'https://images.hifiklubben.com/image/c8d53217-50c7-4ff3-9f82-c5666a20a381'	'new'			'4498 NOK'		'Argon Audio'					'Hvit'													'set'	
'5706957014316'	'Argon Audio FENRIS A4'		'Kompakt høyttaler - Aktive'		'https://www.hifiklubben.no/argon-audio-fenris-a4-kompakt-hoeyttaler---aktive/argfenrisa4ash/'	'https://images.hifiklubben.com/image/ac364594-f9af-477c-9d83-5be9d3a50e92'	'new'			'4498 NOK'		'Argon Audio'					'Trefarget'													'set'	
'5706957016891'	'Argon Audio TT Mk2'		'Platespiller'		'https://www.hifiklubben.no/argon-audio-tt-mk2-platespiller/argttmk2gr/'	'https://images.hifiklubben.com/image/0fb2e7ed-782e-41d7-bcd5-e433c0c533d8'	'new'			'2998 NOK'		'Argon Audio'					'Grønn'													'piece'	
'5706957016877'	'Argon Audio TT Mk2'		'Platespiller'		'https://www.hifiklubben.no/argon-audio-tt-mk2-platespiller/argttmk2bk/'	'https://images.hifiklubben.com/image/281bd43a-7909-4ed4-bac8-406ca06852f0'	'new'			'2998 NOK'		'Argon Audio'					'Sort'													'piece'	
'5706957016914'	'Argon Audio TT Mk2'		'Platespiller'		'https://www.hifiklubben.no/argon-audio-tt-mk2-platespiller/argttmk2wa/'	'https://images.hifiklubben.com/image/636b4281-673c-4647-912a-ca368a6007f2'	'new'			'2998 NOK'		'Argon Audio'					'Trefarget'													'piece'	
'5706957016907'	'Argon Audio TT Mk2'		'Platespiller'		'https://www.hifiklubben.no/argon-audio-tt-mk2-platespiller/argttmk2sama/'	'https://images.hifiklubben.com/image/9cc39817-c0fc-4d7a-b96f-3d9dd6b0847d'	'new'			'2998 NOK'		'Argon Audio'					'Trefarget'													'piece'	
'5706957017782'	'Argon Audio TT Mk2'		'Platespiller'		'https://www.hifiklubben.no/argon-audio-tt-mk2-platespiller/argttmk2eagr/'	'https://images.hifiklubben.com/image/68509590-3ef4-46cd-a4ff-65c704721904'	'new'			'2998 NOK'		'Argon Audio'					'Grå'													'piece'	
