'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'52655467331875'	'Powerbank'	'Xplora Powerbank – Praktisk og Pålitelig Lading Med Xploras powerbank kan du lade opptil to Xplora-klokker samtidig, eller andre USB-enheter, mens du er på farten. Med en kapasitet på 5,000 mAh er den perfekt når du ikke har tilgang til en stikkontakt.'	'Powerbank'	'Electronics > Electronics Accessories > Power > Power Adapters & Chargers > Power Banks'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655467331875&url=https://xplora.no/products/powerbank?variant=52655467331875'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/Powerbank.png?v=1742545811'	'new'	'in_stock'	'249 NOK'		'6902020522019'	'Xplora Mobile AB'	'ACC-PB-5K-RED-NEW'	'9797555945763'																	
'52655468020003'	'X6Play Dream tilbehørspakke'	'Xplora Dream tilbehørspakke – Bytt, Miks & Match! Gi X6Play-smartklokken et helt nytt utseende med Dream pakken! Denne pakken inneholder 3 stilige klokkereimer, matchende remholdere og 3 fargerike rammer, perfekt for å skape unike kombinasjoner. La barna mikse og matche farger og uttrykke sin stil! Pakken inneholder: 3 klokkereimer (mørk lilla, blå, grå) 3 rammer (lys lilla, gul, blå) Matchende remholdere Barn kan enkelt tilpasse sin X6Play på sekunder – kreativitet uten grenser! Merk: Smartklokke selges separat.'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655468020003&url=https://xplora.no/products/x6play-dream-tilbehorspakke?variant=52655468020003'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/X6Dream2.png?v=1739189998'	'new'	'in_stock'	'399 NOK'		'7090048410261'	'Xplora Mobile AB'	'X6-SNF-DREAM'	'9797556109603'																	
'52655473590563'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473590563&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473590563'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/RainbowElastic_1220x_crop_center_18fd3701-64f8-4aad-a4f3-2ad34987f883.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410612'	'Xplora Mobile AB'	'X6-ELSTRAP-RBW120'	'9797556240675'																	
'52655473623331'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473623331&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473623331'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/BlackElastic_41bf87e1-8577-4001-b983-af3f7e4ad898.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410278'	'Xplora Mobile AB'	'X6-ELSTRAP-BLACK108'	'9797556240675'																	
'52655473656099'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473656099&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473656099'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/BlackElastic_41bf87e1-8577-4001-b983-af3f7e4ad898.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410582'	'Xplora Mobile AB'	'X6-ELSTRAP-BLACK120'	'9797556240675'																	
'52655473688867'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473688867&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473688867'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/BlueElastic_09ad7269-14a6-459a-bd7b-08ad00350b25.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410292'	'Xplora Mobile AB'	'X6-ELSTRAP-BLUE108'	'9797556240675'																	
'52655473721635'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473721635&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473721635'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/BlueElastic_09ad7269-14a6-459a-bd7b-08ad00350b25.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410599'	'Xplora Mobile AB'	'X6-ELSTRAP-BLUE120'	'9797556240675'																	
'52655473754403'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473754403&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473754403'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/XploraPurplePinkYellow_elastic_band_adjusted.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410315'	'Xplora Mobile AB'	'X6-ELSTRAP-PINK108'	'9797556240675'																	
'52655473787171'	'Elastisk Klokkereim til X6Play & X6Pro'	'Den elastiske klokkereimen til X6Pro & X6Play kombinerer komfort, stil og funksjonalitet – perfekt for aktive barn! Laget av pustende, hudvennlig nylon for en fleksibel og sikker passform hele dagen. Lett & komfortabel – ingen spenner, enkel å ta av/på Pustende & fleksibel – holder håndleddet kjølig under lek Justerbar passform – 22 mm bred, i tre lengder (96 mm, 108 mm, 120 mm) Stil & variasjon – tilgjengelig i flere farger og mønstre'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655473787171&url=https://xplora.no/products/elastisk-klokkereim-x6play-x6pro?variant=52655473787171'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/XploraPurplePinkYellow_elastic_band_adjusted.png?v=1743163490'	'new'	'in_stock'	'149 NOK'		'7090048410605'	'Xplora Mobile AB'	'X6-ELSTRAP-PINK120'	'9797556240675'																	
'52655521628451'	'X6Play Fotball tilbehørspakke'	'Gjør deg klar for kamp med vårt X6Play Fotballpakke – designet for ekte fotballfans! Dette tilbehørspakken lar barn miks & match mellom 3 armbånd og 3 rammer, slik at de kan tilpasse klokken sin med farger inspirert av sporten de elsker. Slipp løs kreativiteten og vis din fotballpassion! Bytt utseende etter humør, lagånd eller dagens kamp. Gjør X6Play til det ultimate tilbehøret for fotballsesongen. 100 % fotballstemning – atmosfære som aldri før! Som en ekstra bonus får du tilgang til eksklusive bakgrunner og ringetoner via Xploras aktivitetsplattform, slik at du kan telle ned til kampstart med stil.'	'Klokkereim'	'Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands'	'https://to.xplora.no/t/t?a=1487384413&as=1817440741&t=2&tk=1&cupa_sku=52655521628451&url=https://xplora.no/products/x6play-fotball-tilbehorspakke?variant=52655521628451'	'https://cdn.shopify.com/s/files/1/0885/8622/3907/files/ny-hemsida-bilder_89bfe207-f8f5-4bbb-83c1-310accec5709.png?v=1739190170'	'new'	'in_stock'	'399 NOK'		'7090048410360'	'Xplora Mobile AB'	'X6-SNF-FOOTBALL'	'9797558075683'																	
